,time,accX,accY,accZ,gyrX,gyrY,gyrZ,roll,pitch,yaw
4061,1955,-336,12556,7448,-289,-259,369,-0.712452083722862,-0.9808603250273762,1.9771572952820147
4062,1964,-92,12584,7252,-317,-146,294,-1.4348962997843453,-0.12490482909301345,2.637661078195279
4063,1967,164,12584,7356,-321,-74,250,-2.4246766473958945,-0.18611674805076378,-2.8193727569710036
4064,1971,88,12652,7412,-303,-18,223,2.9381331671392763,-0.8673663268841396,-2.5520265241733378
4065,1974,28,12552,7232,-299,75,184,1.0479613342829857,-0.8916523423586883,2.6867172076701884
4066,1977,-132,12612,7348,-295,127,169,0.042926937653321354,-0.20518339631710847,2.7642638273851823
4067,1980,-76,12584,7136,-285,135,198,-0.971861843806326,0.18921421079349018,-2.843315796054309
4068,1983,-128,12608,7292,-330,194,143,-2.067851428155297,-0.4064917312512322,-2.370080714206596
4069,1987,-8,12568,7252,-316,221,128,2.5883192111284656,-1.0056369920543369,-3.119783723451744
4070,1990,-160,12576,7216,-340,145,73,1.0540660237036257,-0.6048091441589576,2.672892100398866
4071,1993,-388,12568,7260,-371,96,76,-0.12790411951143915,-0.25592741700235283,2.850218854496008
4072,1997,-112,12696,7168,-368,153,37,-1.207938360285419,-0.46418772065515235,-2.9571892858789415
4073,2000,-100,12588,7400,-367,203,24,-2.5911560825234705,-1.0807522625865746,-3.139258254573191
4074,2004,-144,12728,7340,-374,185,-16,1.7388586000351918,-0.7772392564818464,2.300217854221244
4075,2007,-96,12676,7428,-386,207,12,0.5656666458195513,-0.18723387063601302,2.5441215238379287
4076,2010,-20,12584,7508,-362,182,-27,-0.535520201332314,-0.26390764536635275,3.1256909321774273
4077,2013,-100,12480,7604,-334,181,-34,-1.579820673134642,-0.8215010097814573,-2.9400102878429415
4078,2043,-824,12544,7264,-208,-68,176,-1.7635807632836618,-0.6335586457980089,-2.080674487818588
4079,2046,-716,12656,7180,-258,-103,253,-2.030497887763477,-0.5739630843725839,-0.9877458472242989
4080,2050,-612,12604,7180,-272,-134,271,-2.2308379187608116,-0.6874336686072556,0.22537455867760364
4081,2053,-448,12544,7212,-300,-120,297,-2.0863900607810466,-0.9521687851443503,1.7301411522361894
4082,2056,-444,12556,7216,-299,-200,290,-1.853941405954772,-0.651148918407029,-2.942660450560456
4083,2060,-616,12608,7268,-317,-277,315,-2.2536827607692933,-0.30362282023400666,-1.5948288644045887
4084,2063,-360,12676,7320,-321,-331,317,-2.73503920393069,-0.4878755564948079,-0.17821220414653666
4085,2066,-260,12608,7532,-290,-362,319,-2.4253831363444913,-0.8213799138906211,1.6439334498818958
4086,2070,-88,12532,7644,-251,-278,328,-1.9116904982986695,-0.6118303666303541,-2.7980312157055818
4087,2073,-44,12580,7528,-228,-264,270,-2.185421529277268,-0.2077890339868564,-1.5589467642035357
4088,2076,-144,12596,7484,-240,-263,248,-2.7309411610808207,-0.3006702430892415,-0.38228584681723304
4089,2079,-108,12612,7508,-203,-250,254,-2.725208351490976,-0.8077404182680006,0.8908938798259888
4090,2084,-4,12708,7412,-184,-177,209,-2.081341069096945,-0.9745282755841778,2.474923040067881
4091,2087,0,12528,7352,-188,-71,172,-1.7681980414816219,-0.944623143479434,-2.607132364552701
4092,2094,120,12540,7412,-183,194,76,1.5972858396302232,-1.4177554262721013,1.4038717278259691
4093,2097,48,12640,7280,-199,242,42,0.9998996623672437,-0.5785916740475645,1.5527291088555648
4094,2100,-128,12556,7132,-218,307,13,0.380463841785803,0.13489917105995944,2.305660797518486
4095,2103,-420,12644,7020,-246,283,31,-0.6448076702950062,0.11346097813338056,-3.0391964174540615
4096,2107,-580,12588,7056,-264,296,42,-1.4195199286646158,-0.6584876392466196,-2.4277459173863463
4097,2110,-512,12628,7132,-318,269,90,2.657213254640251,-1.4948995342210014,2.7304277048872176
